Date,Open,High,Low,Close
2021-09-08T11:06:00+0530,517,521.6,517,521.6
2021-09-08T11:07:00+0530,521.6,521.6,510.15,512.85
2021-09-08T11:08:00+0530,512.85,516.1,501.05,504.95
2021-09-08T11:09:00+0530,505,512.35,503.5,512.35
2021-09-08T11:10:00+0530,513.65,514.05,510,510
2021-09-08T11:11:00+0530,510,513.15,505,513.15
2021-09-08T11:12:00+0530,513.35,515.1,507.95,514.1
2021-09-08T11:13:00+0530,516,536.15,514.4,529.05
2021-09-08T11:14:00+0530,529.05,529.65,512.55,512.55
2021-09-08T11:15:00+0530,512.55,519.95,459.5,474.25
2021-09-08T11:16:00+0530,474.25,499.45,474.25,494.1
2021-09-08T11:17:00+0530,494.1,500.95,477.7,480.35
2021-09-08T11:18:00+0530,482.25,489.05,478.4,484.85
2021-09-08T11:19:00+0530,482.6,495.7,482.6,494
2021-09-08T11:20:00+0530,494,500,492.75,493.05
2021-09-08T11:21:00+0530,493.05,493.05,477.75,483.05
2021-09-08T11:22:00+0530,483.05,489,478.55,489
2021-09-08T11:23:00+0530,489,492.45,485,491.5
2021-09-08T11:24:00+0530,491.5,491.5,485.75,488.7
2021-09-08T11:25:00+0530,488.7,496.5,487.65,495.7
2021-09-08T11:26:00+0530,495.7,496.7,492.65,496.55
2021-09-08T11:27:00+0530,496.55,497.95,483.05,485.55
2021-09-08T11:28:00+0530,485.55,493,484.25,484.25
2021-09-08T11:29:00+0530,484.25,490.05,484.25,489
2021-09-08T11:30:00+0530,489,489.4,483.75,483.75
2021-09-08T11:31:00+0530,480.1,483.1,479,479
2021-09-08T11:32:00+0530,479,482.85,477.8,480
2021-09-08T11:33:00+0530,476.95,484.3,476.95,484.3
2021-09-08T11:34:00+0530,484.3,488.3,477.15,488.3
2021-09-08T11:35:00+0530,488.3,490.5,469.45,472.05
2021-09-08T11:36:00+0530,475,483.45,472.05,483.45
2021-09-08T11:37:00+0530,483.45,490.45,483.45,489
2021-09-08T11:38:00+0530,489,489.9,486.75,489.9
2021-09-08T11:39:00+0530,489.9,489.9,483.05,483.05
2021-09-08T11:40:00+0530,483.05,493.75,483.05,493.55
2021-09-08T11:41:00+0530,483,484.75,480.75,484.75
2021-09-08T11:42:00+0530,484.75,486.9,484.75,486.9
2021-09-08T11:43:00+0530,486.9,491.95,484.7,486.55
2021-09-08T11:44:00+0530,486.55,490,484,490
2021-09-08T11:45:00+0530,490,490,485,485
2021-09-08T11:46:00+0530,485,496.8,485,496.8
2021-09-08T11:47:00+0530,496.8,511.2,494.75,509.8
2021-09-08T11:48:00+0530,509.8,517.15,509,511.8
2021-09-08T11:49:00+0530,511.8,512.05,510,512
2021-09-08T11:50:00+0530,512,516.55,510.85,513.15
2021-09-08T11:51:00+0530,513.15,513.15,504.9,504.9
2021-09-08T11:52:00+0530,504.9,510.35,502.2,506.1
2021-09-08T11:53:00+0530,507.45,509.6,506.1,507.45
2021-09-08T11:54:00+0530,507.45,511,507.45,510
2021-09-08T11:55:00+0530,510,510,507.55,507.55
2021-09-08T11:56:00+0530,507.55,510.3,503.95,508.1
2021-09-08T11:57:00+0530,508.1,510.9,508.1,508.85
2021-09-08T11:58:00+0530,508.85,508.85,505.6,506.2
2021-09-08T11:59:00+0530,506.2,506.2,498.35,498.45
2021-09-08T12:00:00+0530,498.45,502.75,490,490
2021-09-08T12:01:00+0530,490,512.4,490,512.4
2021-09-08T12:02:00+0530,513,529.55,513,516.75
2021-09-08T12:03:00+0530,516.75,516.75,510.05,512.85
2021-09-08T12:04:00+0530,512.85,527.95,512.85,525
